word,pronunciation,part_of_speech,meaning_vi,example_en,example_vi,topic,level,image_url,collocations,synonyms,antonyms
ascertain,"/,æsə'tein/",v.,"Biết chắc, xác định rõ ràng",A necessary part of product development is to ascertain whether the product is safe.,Một việc cần thiết cho sự phát triển sản phẩm là biết chắc sản phẩm có an toàn hay không.,Product Development,B1,https://audio.tflat.vn/data/cache/images/300x225/a/s/ascertain1.png,,,
assume,/ə'sju:m/,v.,"Đảm đương, gánh vác",It is generally assumed that stress is caused by too much work.,Nhiều người tin rằng sự căng thẳng gây ra bởi quá nhiều công việc.,Product Development,B1,https://audio.tflat.vn/data/cache/images/300x225/a/s/assume1.png,,,
examine,/ig'zæmin/,v.,"Khảo sát, nghiên cứu",These ideas will be examined in more detail in Chapter 10.,Những ý tưởng này sẽ được xem xét chi tiết hơn trong Chương 10.,Product Development,B1,https://audio.tflat.vn/data/cache/images/300x225/e/x/examine2.png,,,
decade,/ˈdekeɪd/,n.,"Thập kỷ, thời kỳ mười năm",She has been very famous for a few decades.,Cô ấy đã rất nổi tiếng trong một vài thập kỷ.,Product Development,B1,https://audio.tflat.vn/data/cache/images/300x225/d/e/decade2.png,,,
experiment,/ɪkˈsperɪmənt/,n.,Cuộc thí nghiệm,Some people believe that experiments on animals should be banned.,Một số người cho rằng những thí nghiệm trên động vật nên bị cấm.,Product Development,B1,https://audio.tflat.vn/data/cache/images/300x225/e/x/experiment2.png,,,
logical,/ˈlɒdʒɪk(ə)l/,adj.,"Có lô-gic, hợp lý",Your argument is not logical at all.,Lập luận của bạn là không hợp lý ở tất cả.,Product Development,B1,https://audio.tflat.vn/data/cache/images/300x225/l/o/logical2.png,,,
research,/ri'sə:tʃ/,v.,Nghiên cứu,They're researching into ways of improving people's diet.,Họ đang nghiên cứu về cách cải thiện chế độ ăn uống của người dân.,Product Development,B1,https://audio.tflat.vn/data/cache/images/300x225/r/e/research2.png,,,
responsibility,"/ris,pɔnsə'biliti/",n.,"Trách nhiệm, bổn phận","The product development department has a huge responsibility to be sure that the product is safe, even if used improperly.","Bộ phận phát triển sản phẩm có một trách nhiệm to lớn là phải chắc rằng sản phẩm là an toàn, cho dù là sử dụng không đúng cách.",Product Development,B1,https://audio.tflat.vn/data/images_example/300x225/t/h/the_produc_ex1_580ec4197f8b9ae2888b458a.jpg,,,
solve,/sɔlv/,v.,"Giải quyết, tìm giải pháp",You can't solve anything by just running away.,Cậu không thể giải quyết vấn đề bằng cách bỏ chạy được.,Product Development,B1,https://audio.tflat.vn/data/cache/images/300x225/s/o/solve2.png,,,
supervisor,/'sju:pəvaizə/,n.,Người giám sát,I have a meeting with my supervisor about my research topic.,Tôi có một cuộc họp với người giám sát của tôi về chủ đề nghiên cứu.,Product Development,B1,https://audio.tflat.vn/data/cache/images/300x225/s/u/supervisor2.png,,,
systematically,/ˌsɪstəˈmætɪkli/,adv.,"Có hệ thống, có phương pháp (methodically)","While creative thinking is necessary, analyzing a problem systematically is indispensable.","Trong khi mà sự suy nghĩ sáng tạo là cần thiết, thì việc phân tích một vấn đề một cách có hệ thống là không thể thiếu được.",Product Development,B1,https://audio.tflat.vn/data/cache/images/300x225/s/y/systematically1.png,,,
aware,/ə'weə/,adj.,"Biết, nhận thức",My dentist made me aware that I should have an appointment twice a year.,Nha sĩ của tôi làm cho tôi biết rằng tôi nên hẹn gặp 2 lần mỗi năm.,Dentist's Office,B1,https://audio.tflat.vn/data/images_example/300x225/m/y/my_dentist_ex1_56248d167f8b9a040dc66260.jpg,,,
catch up,/katʃ ʌp/,v.,"Làm kịp, kịp thời gian",The dental assistant was able to catch up on her paperwork in between patients.,Người trợ tá nha sĩ đã kịp làm công việc giấy tờ của mình giữa các lần khám bệnh nhân.,Dentist's Office,B1,https://audio.tflat.vn/data/cache/images/300x225/c/a/catch_up1.jpg,,,
distraction,/dis'trækʃn/,n.,"‹sự› sao nhãng, lãng trí, rối trí; sự giải trí, trò tiêu khiển","To provide a distraction from the noise, Luisa's dentist offered her a pair of earphones.","Để tránh khỏi tiếng ồn, nha sĩ của Luisa đã đưa ra cho cô một cặp tai nghe.",Dentist's Office,B1,https://audio.tflat.vn/data/cache/images/300x225/d/i/distraction.jpg,,,
encouragement,/in'kʌridʤmənt/,n.,"Khuyến khích, cổ vũ, niềm động viên",Let me offer you some encouragement about your crooked teeth.,Để tôi sẵn sàng cho anh vài sự động viên về hàm răng lệch lạc của anh.,Dentist's Office,B1,https://audio.tflat.vn/data/cache/images/300x225/e/n/encouragement2.jpg,,,
evident,/'evidənt/,adj.,"Hiển nhiên, rõ ràng",The presence of a wisdom tooth was not evident until the dentist started to examine the patient.,Sự có mặt của cái răng khôn thì không rõ ràng cho đến khi nha sĩ bắt đầu khám bệnh nhân.,Dentist's Office,B1,https://audio.tflat.vn/data/cache/images/300x225/e/v/evident1.png,,,
habit,/ˈhæbɪt/,n.,Thói quen,Negative thinking can become a habit.,Suy nghĩ tiêu cực có thể trở thành một thói quen.,Dentist's Office,B1,https://audio.tflat.vn/data/cache/images/300x225/h/a/habit1.png,,,
illuminate,/i'ju:mineit/,v.,"Chiếu sáng, làm sáng tỏ",Let me turn on more lights to properly illuminate the back teeth.,Để tôi bật thêm đèn để chiếu sáng đúng mức hàm răng đen.,Dentist's Office,B1,https://audio.tflat.vn/data/cache/images/300x225/i/l/illuminate1.png,,,
irritate,/'iriteit/,v.,"Kích thích, làm tấy lên, làm rát",Aspirin irritates my stomach.,Aspirin kích ứng dạ dày của tôi.,Dentist's Office,B1,https://audio.tflat.vn/data/images_example/300x225/a/s/aspirin_ir_ex1_56248d167f8b9a040dc66274.jpg,,,
overview,/´ouvə¸vju:/,n.,"Nhìn tồng quát, miêu tả chung, ngắn gọn",I did a quick overview of your teeth and they look in good shape.,Tôi đã khám tổng quát nhanh hàm răng của cô và chúng trông có vẻ tốt.,Dentist's Office,B1,https://audio.tflat.vn/data/images_example/300x225/i/_/i_did_a_qu_ex1_56248d167f8b9a040dc66278.jpg,,,
position,/pəˈzɪʃn/,n.,Vị trí,I'm writing to apply for the position of a volunteer guide.,Tôi viết thư để ứng tuyển vị trí hướng dẫn viên tình nguyện.,Dentist's Office,B1,https://audio.tflat.vn/data/images_example/300x225/i/m/im_writing_ex1_56248cfb7f8b9afa0cb17d50.jpg,,,
regularly,/ˈreɡjələli/,adv.,Thường xuyên,Doing physical exercise regularly will make you healthy.,Tập thể dục thường xuyên sẽ làm cho bạn khỏe mạnh.,Dentist's Office,B1,https://audio.tflat.vn/data/cache/images/300x225/r/e/regularly1.png,,,
restore,/ris´tɔ:/,v.,"Hồi phục, khôi phục lại",The cleaning restored the whiteness of my teeth.,Việc làm sạch răng đã phục hồi độ trắng của hàm răng tôi.,Dentist's Office,B1,https://audio.tflat.vn/data/cache/images/300x225/r/e/restore1.png,,,
adhere to,/ədˈhɪə(r) tə/,v.,"Tuân thủ, giữ vững",The chairman never wants to adhere to his own rules.,Vị chủ tịch chẳng bao giờ muốn giữ vững những quy tắc của riêng ông ta.,Board Meeting & Committees,B1,https://audio.tflat.vn/data/cache/images/300x225/a/d/adhere_to1.png,,,
agenda,/ə´dʒendə/,n.,"Đề tài thảo luận, chương trình nghị sự",Newspapers have been accused of trying to set the agenda for the government.,Báo chí đã bị buộc tội cố gắng thiết lập chương trình nghị sự của chính phủ.,Board Meeting & Committees,B1,https://audio.tflat.vn/data/cache/images/300x225/a/g/agenda1.png,,,
bring up,/brɪŋ ʌp/,phr. v.,Đưa ra,Can you bring up the main menu again?,Bạn có thể đưa lại thực đơn cho tôi xem được không ?,Board Meeting & Committees,B1,https://audio.tflat.vn/data/cache/images/300x225/b/r/bring_up1.png,,,
conclude,/kən'klu:d/,v.,"Kết luận, quyết định","After long discussions, the board has concluded that the project has to be canceled.","Sau những cuộc tranh luận dài, ủy ban đã kết luận rằng dự án phải bị hủy bỏ.",Board Meeting & Committees,B1,https://audio.tflat.vn/data/images_example/300x225/a/f/after_long_ex1_56248d167f8b9a040dc66060.jpg,,,
go ahead,/ɡəʊ əˈhed /,n.,Sự được phép (làm gì),The manager was just waiting for the go ahead from her boss before mailing the report.,Người trưởng phòng đang chờ sự cho phép từ sếp của cô ta trước khi gửi báo cáo.,Board Meeting & Committees,B1,https://audio.tflat.vn/data/cache/images/300x225/g/o/go_ahead1.png,,,
goal,/goul/,n.,"Mục đích, mục tiêu",Employees are expected to analyze and evaluate their annual goals.,Các nhân viên được yêu cầu phân tích và đánh giá các mục tiêu hàng năm của họ.,Board Meeting & Committees,B1,https://audio.tflat.vn/data/cache/images/300x225/g/o/goal2.png,,,
lengthy,/'leɳθi/,adj.,"Lâu, dài, dài dòng","After lengthy discussions, the chairperson was reelected for another term.","Sau những cuộc tranh luận dài, vị chủ tịch đã được bầu lại một nhiệm kỳ nữa.",Board Meeting & Committees,B1,https://audio.tflat.vn/data/cache/images/300x225/l/e/lengthy2.png,,,
matter,/'mætə/,n.,"Chủ đề, vấn đề, việc, chuyện",What's the matter with you?,Có chuyện gì với bạn vậy?,Board Meeting & Committees,B1,https://audio.tflat.vn/data/cache/images/300x225/m/a/matter3.png,,,
periodically,/ˌpɪəriˈɒdɪkli/,adv.,"Định kỳ, thường kỳ, chu kỳ",The group tried to meet periodically.,Nhóm đã cố gắng gặp gỡ định kỳ.,Board Meeting & Committees,B1,https://audio.tflat.vn/data/cache/images/300x225/p/e/periodically1.jpg,,,
priority,/praɪˈɒrəti/,n.,Quyền ưu tiên,My top priority now is to win a place at the university.,Điều ưu tiên lớn nhất của tôi bây giờ là đỗ đại học.,Board Meeting & Committees,B1,https://audio.tflat.vn/data/cache/images/300x225/p/r/priority2.png,,,
progress,/ˈprəʊɡrɛs/,n.,"Sự tiến bộ, sự tiến triển",The doctor said that he was making good progress after the surgery.,Bác sỹ nói rằng anh ấy đang có tiến triển tốt sau cuộc phẫu thuật.,Board Meeting & Committees,B1,https://audio.tflat.vn/data/cache/images/300x225/p/r/progress2.png,,,
waste,/weɪst/,v.,Lãng phí,Don't waste your money on that game.,Đừng lãng phí tiền của bạn vào trò chơi đó.,Board Meeting & Committees,B1,https://audio.tflat.vn/data/cache/images/300x225/w/a/waste2.png,,,
media,/ˈmiːdɪə/,n.,Truyền thông,He became a media star for his part in the protests.,Ông ấy đã trở thành một ngôi sao truyền thông bởi sự tham gia của ông trong các cuộc biểu tình.,Media,B1,https://audio.tflat.vn/data/cache/images/300x225/m/e/media1.jpg,,,
assignment,/ə'sainmənt/,n.,"‹sự› giao việc, phân công; quy là, cho là",This assignment has to be turned in before midnight.,Công việc được giao này phải được thực hiện trước nửa đêm.,Media,B1,https://audio.tflat.vn/data/cache/images/300x225/a/s/assignment-n11.jpg,,,
choose,/tʃuːz/,v.,"Chọn, chọn lựa",It took her a long time to choose a hat.,Cô ấy phải mất một thời gian dài để chọn một cái mũ.,Media,B1,https://audio.tflat.vn/data/images_example/300x225/i/t/it_took_he_ex1_58213ca37f8b9a91078b4567.png,,,
constantly,/'kɔnstəntli/,adj.,"Luôn luôn, liên tục, liên miên",The company is constantly looking for highly trained employees.,Công ty không ngừng tìm kiếm những nhân viên được đào tạo tốt.,Media,B1,https://audio.tflat.vn/data/cache/images/300x225/c/o/constantly1.jpg,,,
constitute,/'kɔnstitju:t/,v.,"Cấu thành, tạo thành, thành lập",What constitutes success?,Điều gì tạo nên thành công?,Media,B1,https://audio.tflat.vn/data/cache/images/300x225/c/o/constitute1.png,,,
decision,/di'siʤn/,n.,Quyết định,It is time for me to make a very important decision which can change my life.,Đã đến lúc để tôi đưa ra một quyết định quan trọng có thể thay đổi cả cuộc sống của tôi.,Media,B1,https://audio.tflat.vn/data/cache/images/300x225/d/e/decision1.png,,,
disseminate,/di'semineit/,v.,"Truyền bá; phổ biến, gieo rắc (khắp nơi)",The media disseminates news across the world.,Truyền thông đại chúng phổ biến tin tức đi khắp thế giới.,Media,B1,https://audio.tflat.vn/data/cache/images/300x225/d/i/disseminate.gif,,,
impact,/ˈɪmpakt/,n.,"Sự tác động mạnh, ảnh hưởng mạnh",The story of the presidential scandal had a huge impact on the public.,Bài báo về vụ bê bối của tổng thống đã có tác động to lớn đến công chúng.,Media,B1,https://audio.tflat.vn/data/cache/images/300x225/i/m/impact1.png,,,
in-depth,/ɪn dɛpθ/,adj.,"Cẩn thận, tỉ mỉ, chu đáo, chi tiết",The newspaper gave in-depth coverage of the tragic bombing.,Tờ báo đưa tin chi tiết về vụ ném bom bi thảm.,Media,B1,https://audio.tflat.vn/data/cache/images/300x225/i/n/in-depth.jpg,,,
investigate,/in'vestigeit/,v.,"Điều tra, nghiên cứu",Reporters need to thoroughly investigate the facts before publishing their stories.,Các phóng viên cần phải điều tra kỹ lưỡng về sự kiện trước khi công bố bài báo về chúng.,Media,B1,https://audio.tflat.vn/data/cache/images/300x225/i/n/investigate2.jpg,,,
link,/liɳk/,n.,"Liên kết, chỗ nối",Police suspect there may be a link between the two murders.,Cảnh sát nghi ngờ có thể có một mối liên kết giữa hai vụ giết người.,Media,B1,https://audio.tflat.vn/data/cache/images/300x225/l/i/link1.png,,,
subscribe,/səbˈskraɪb/,v.,"Đặt mua một cái gì đó định kỳ, đăng ký",We subscribe to several sports channels (= on TV).,Chúng tôi đăng ký vào một số kênh thể thao (trên TV).,Media,B1,https://audio.tflat.vn/data/cache/images/300x225/s/u/subscribe1.jpg,,,
thorough,/'θʌrə/,adj.,"Kỹ lưỡng, tỉ mỉ",The story was the result of thorough research.,Bài báo là kết quả của sự nghiên cứu kỹ lưỡng.,Media,B1,https://audio.tflat.vn/data/cache/images/300x225/t/h/thorough1.png,,,
hospital,/ˈhɒspɪt(ə)l/,n.,Bệnh viện,This hospital is very large.,Bệnh viện này là rất lớn.,Hospitals,B1,https://audio.tflat.vn/data/cache/images/300x225/h/o/hospitals1.jpg,,,
admit,/ədˈmɪt/,v.,"Thừa nhận, cho vào",She admits being strict with her children.,Cô ấy thừa nhận đã nghiêm khắc với con cái.,Hospitals,B1,https://audio.tflat.vn/data/images_example/300x225/s/h/she_admits_ex1_56248d117f8b9a020d261804.jpg,,,
